name,code
额尔古纳市,152106
根河市,152105
牙克石市,152104
陈巴尔虎旗,152131
新巴尔虎右旗,152129
新巴尔虎左旗,152130
阿荣旗,152122
布尔津县,654321
哈巴河县,654324
阿勒泰市,654301
扎兰屯市,152103
克山县,230229
北安市,231181
鹤岗市,230401
克东县,230230
福海县,654323
绥棱县,232332
依安县,230223
富蕴县,654322
富裕县,230227
吉木乃县,654326
拜泉县,230231
龙江县,230221
富锦市,230882
庆安县,232330
林甸县,230623
铁力市,230781
明水县,232331
扎赉特旗,152223
汤原县,230828
青河县,654325
桦川县,230826
北林区,232301
望奎县,232324
泰来县,230224
青冈县,232326
和布克赛尔蒙古自治县,654226
额敏县,654221
集贤县,230521
安达市,232302
大庆市,230601
友谊县,230522
宝清县,230523
佳木斯市,230801
双鸭山市,230501
东乌珠穆沁旗,152525
巴彦县,230126
依兰县,230123
兰西县,232325
桦南县,230822
通河县,230128
木兰县,230127
呼兰县,230121
勃利县,230921
乌兰浩特市,152201
七台河市,230901
克拉玛依市,650201
方正县,230124
突泉县,152224
宾县,230125
阿城市,230181
科尔沁右翼中旗,152222
林口县,231025
哈尔滨市,230101
洮北区,220801
延寿县,230129
霍林郭勒市,152302
海林市,231083
扎鲁特旗,152327
尚志市,230183
奇台县,652325
鸡西市,230301
阿巴嘎旗,152522
西乌珠穆沁旗,152526
沙湾县,654223
玛纳斯县,652324
呼图壁县,652323
昌吉市,652301
温泉县,652723
乌苏市,654202
阿鲁科尔沁旗,150421
精河县,652722
木垒哈萨克自治县,652328
苏尼特左旗,152523
巴里坤哈萨克自治县,652222
阜康市,652302
米泉市,652303
吉木萨尔县,652327
锡林浩特市,152502
农安县,220122
霍城县,654123
东宁县,231024
牡丹江市,231001
奎屯市,654001
巴林左旗,150422
长岭县,220722
绥芬河市,231081
科尔沁左翼中旗,152322
敦化市,222403
巴林右旗,150423
宁安市,231084
石河子市,659001
伊宁县,654121
伊吾县,652223
永吉县,220221
林西县,150424
尼勒克县,654128
克什克腾旗,150425
开鲁县,152324
公主岭市,220381
吉林市,220201
双辽市,220382
汪清县,222424
科尔沁区,152301
伊宁市,654101
梨树县,220322
二连浩特市,152501
苏尼特右旗,152524
哈密市,652201
科尔沁左翼后旗,152323
新源县,654125
伊通满族自治县,220323
吐鲁番市,652101
巩留县,654124
鄯善县,652122
奈曼旗,152326
磐石市,220284
翁牛特旗,150426
特克斯县,654127
安图县,222426
四子王旗,152634
托克逊县,652123
四平市,220301
东辽县,220422
东丰县,220421
正蓝旗,152530
西丰县,211223
正镶白旗,152529
梅河口市,220581
敖汉旗,150430
辽源市,220401
和龙市,222406
辉南县,220523
抚松县,220621
靖宇县,220622
肃北蒙古族自治县,622124
额济纳旗,152923
和硕县,652828
镶黄旗,152528
多伦县,152531
拜城县,652926
库车县,652923
围场满族蒙古族自治县,130828
柳河县,220524
调兵山市,211281
铁岭县,211221
轮台县,652822
清原满族自治县,210423
乌拉特后旗,152826
温宿县,652922
铁岭市,211201
化德县,152625
北票市,211381
博湖县,652829
喀喇沁旗,150428
焉耆回族自治县,652826
库尔勒市,652801
康保县,130723
太仆寺旗,152527
